code,distillery,region,status,founded,closed,wikipedia,wikidata,confidence,last_verified
A4,Domaine d’Espérance,France,,,,,,,2026-08-16
A5,Chateau de Laubade,France,,,,,,,2026-08-16
A6,Domaine Lasalle,France,,,,,,,2026-08-16
A7,Domaine Lasalle,France,,,,,,,2026-08-16
A8,Domaine de Cavaillon,France,,,,,,,2026-08-16
A9,Domaine de Saurine,France,,,,,,,2026-08-16
B1,Heaven Hill,"Kentucky, USA",,,,,,,2026-08-16
B2,New Bernheim,"Kentucky, USA",,,,,,,2026-08-16
B3,Rock Town,"Arkansas, USA",,,,,,,2026-08-16
B4,FEW Spirits,"Illinois, USA",,,,,,,2026-08-16
B5,George Dickel (Cascade Hollow),"Tennessee, USA",,,,,,,2026-08-16
B6,Finger Lakes Distilling,"New York, USA",,,,,,,2026-08-16
B7,MGP (Midwest Grain Products),"Indiana, USA",,,,,,,2026-08-16
B8,Woodinville Whiskey Co.,"Washington, USA",,,,,,,2026-08-16
B9,Wilderness Trail Distillery,"Kentucky, USA",,,,,,,2026-08-16
C1,Camus,France,,,,,,,2026-08-16
C2,Domaine de Chez Guérive,France,,,,,,,2026-08-16
C3,Louis Royer,France,,,,,,,2026-08-16
C4,Distillery D’Aumagne,France,,,,,,,2026-08-16
C5,Tiffon Cognac,France,,,,,,,2026-08-16
C6,M & H Bonneau,France,,,,,,,2026-08-16
C7,Guy Rateau,France,,,,,,,2026-08-16
C8,Marie C. Bodit,France,,,,,,,2026-08-16
C9,Robert Audebeau,France,,,,,,,2026-08-16
CW1,Heaven Hill Distillery,"Kentucky, USA",,,,,,,2026-08-16
CW2,Balcones,"Texas, USA",,,,,,,2026-08-16
G1,North British,Lowland,,,,,,,2026-08-16
G2,Carsebridge,Lowland,,,,,,,2026-08-16
G3,Caledonian,Lowland,,,,,,,2026-08-16
G4,Cameronbridge,Lowland,,,,,,,2026-08-16
G5,Invergordon,Highland,,,,,,,2026-08-16
G6,Port Dundas,Lowland,,,,,,,2026-08-16
G7,Girvan,Lowland,,,,,,,2026-08-16
G8,Cambus,Lowland,,,,,,,2026-08-16
G9,Loch Lomond,Highland,,,,,,,2026-08-16
G10,Strathclyde,Lowland,,,,,,,2026-08-16
G11,Nikka Coffey Grain,Japan,,,,,,,2026-08-16
G12,Nikka Coffey Malt,Japan,,,,,,,2026-08-16
G13,Chita,Japan,,,,,,,2026-08-16
G14,Dumbarton,Lowland,,,,,,,2026-08-16
